2021-11-29 14:19:59 [main] [<init>] [50] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-11-29 14:19:59 [pool-2-thread-2] [nextAction] [32] INFO  by.epam.task5.state.impl.WaitingState - Ship 2 with 521 containers is in queue. Ship status is - unloading and loading required.
2021-11-29 14:19:59 [pool-2-thread-4] [nextAction] [32] INFO  by.epam.task5.state.impl.WaitingState - Ship 4 with 8 containers is in queue. Ship status - loading required.
2021-11-29 14:19:59 [pool-2-thread-1] [nextAction] [32] INFO  by.epam.task5.state.impl.WaitingState - Ship 1 with 67 containers is in queue. Ship status - loading required.
2021-11-29 14:19:59 [pool-2-thread-5] [nextAction] [32] INFO  by.epam.task5.state.impl.WaitingState - Ship 5 with 206 containers is in queue. Ship status - unloading required.
2021-11-29 14:19:59 [pool-2-thread-2] [call] [91] INFO  by.epam.task5.entity.Ship - Ship 2 is in processing
2021-11-29 14:19:59 [pool-2-thread-3] [nextAction] [32] INFO  by.epam.task5.state.impl.WaitingState - Ship 3 with 525 containers is in queue. Ship status - loading required.
2021-11-29 14:19:59 [pool-2-thread-1] [call] [91] INFO  by.epam.task5.entity.Ship - Ship 1 is in processing
2021-11-29 14:19:59 [pool-2-thread-1] [nextAction] [36] INFO  by.epam.task5.state.impl.LoadingUnloadingState - Ship 1 is loading.
2021-11-29 14:19:59 [pool-2-thread-2] [nextAction] [32] INFO  by.epam.task5.state.impl.LoadingUnloadingState - Ship 2 is unloading.
2021-11-29 14:19:59 [pool-2-thread-1] [load] [102] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 1 = 634; port = 33
2021-11-29 14:19:59 [pool-2-thread-2] [unload] [114] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 2 = 0; port = 554
2021-11-29 14:19:59 [pool-2-thread-2] [nextAction] [36] INFO  by.epam.task5.state.impl.LoadingUnloadingState - Ship 2 is loading.
2021-11-29 14:19:59 [pool-2-thread-2] [load] [102] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 2 = 446; port = 0
2021-11-29 14:19:59 [Timer-0] [run] [123] INFO  by.epam.task5.entity.Port - Number of containers in port = 0
