2021-12-03 15:26:55 [Timer-0] [run] [128] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-03 15:26:55 [main] [<init>] [46] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@3b6ddd1d
2021-12-03 15:26:55 [pool-2-thread-19] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 19 with 553 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-4] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 4 with 100 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-16] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 16 with 600 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 7 with 53 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-15] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 15 with 648 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-9] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 9 with 178 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 93 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-8] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 8 with 64 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-3] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 3 with 503 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 14 with 83 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-20] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 20 with 204 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 337 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 887 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-1] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 1 with 217 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-23] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 23 with 218 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-10] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 10 with 24 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-7] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 7 is in processing
2021-12-03 15:26:55 [pool-2-thread-11] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 11 with 266 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-13] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 13 with 158 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-22] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 22 with 34 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-17] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 17 with 6 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-20] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 20 is in processing
2021-12-03 15:26:55 [pool-2-thread-6] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 6 with 116 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-18] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 18 with 230 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-7] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is unloading.
2021-12-03 15:26:55 [pool-2-thread-12] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 12 with 96 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-20] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 20 is unloading.
2021-12-03 15:26:55 [pool-2-thread-25] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 25 with 748 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 147 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-28] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 28 with 379 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 31 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-20] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 20 = 0; port = 857
2021-12-03 15:26:55 [pool-2-thread-7] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 7 = 0; port = 653
2021-12-03 15:26:55 [pool-2-thread-27] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 27 with 254 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-29] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 29 with 337 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-32] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 32 with 141 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-36] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 36 with 52 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-35] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 35 with 215 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-39] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 39 with 97 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-40] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 40 with 361 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-31] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 31 with 350 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-43] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 43 with 187 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-44] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 44 with 1 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-48] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 48 with 287 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-47] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 47 with 330 containers is in queue. Ship status is - unloading and loading required.
2021-12-03 15:26:55 [pool-2-thread-33] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 33 with 251 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-30] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 30 with 131 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-34] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 34 with 276 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-37] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 37 with 640 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-41] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 41 with 134 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-38] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 38 with 302 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-42] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 42 with 626 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-46] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 46 with 156 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-49] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 49 with 48 containers is in queue. Ship status - unloading required.
2021-12-03 15:26:55 [pool-2-thread-50] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 50 with 69 containers is in queue. Ship status - loading required.
2021-12-03 15:26:55 [pool-2-thread-45] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 45 with 52 containers is in queue. Ship status - loading required.
2021-12-03 15:26:56 [Timer-0] [run] [128] INFO  by.epam.task5.entity.Port - Number of containers in port = 857
2021-12-03 15:26:56 [pool-2-thread-20] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 20 is unloading.
2021-12-03 15:26:56 [pool-2-thread-7] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is unloading.
2021-12-03 15:26:56 [pool-2-thread-20] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 20 = 0; port = 857
2021-12-03 15:26:56 [pool-2-thread-10] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 10 is in processing
2021-12-03 15:26:56 [pool-2-thread-7] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 7 = 0; port = 857
2021-12-03 15:26:56 [pool-2-thread-10] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 10 is unloading.
2021-12-03 15:26:56 [pool-2-thread-5] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 5 is in processing
2021-12-03 15:26:56 [pool-2-thread-10] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 10 = 0; port = 881
2021-12-03 15:26:56 [pool-2-thread-5] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 5 is unloading.
2021-12-03 15:26:56 [pool-2-thread-5] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 5 = 0; port = 1218
2021-12-03 15:26:57 [Timer-0] [run] [128] INFO  by.epam.task5.entity.Port - Number of containers in port = 750
2021-12-03 15:26:57 [pool-2-thread-10] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 10 is unloading.
2021-12-03 15:26:57 [pool-2-thread-5] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 5 is unloading.
2021-12-03 15:26:57 [pool-2-thread-10] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 10 = 0; port = 750
2021-12-03 15:26:57 [pool-2-thread-5] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 5 = 0; port = 750
2021-12-03 15:26:57 [pool-2-thread-9] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 9 is in processing
2021-12-03 15:26:57 [pool-2-thread-1] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 1 is in processing
2021-12-03 15:26:57 [pool-2-thread-9] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 9 is unloading.
2021-12-03 15:26:57 [pool-2-thread-1] [nextAction] [23] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 1 is loading.
2021-12-03 15:26:57 [pool-2-thread-9] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 9 = 0; port = 928
2021-12-03 15:26:57 [pool-2-thread-1] [load] [103] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 1 = 673; port = 472
2021-12-03 15:26:58 [Timer-0] [run] [128] INFO  by.epam.task5.entity.Port - Number of containers in port = 472
2021-12-03 15:26:58 [pool-2-thread-9] [nextAction] [19] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 9 is unloading.
2021-12-03 15:26:58 [pool-2-thread-1] [nextAction] [23] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 1 is loading.
