2021-12-02 18:57:56 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-02 18:57:56 [main] [<init>] [44] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-12-02 18:57:56 [pool-2-thread-20] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 20 with 14 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 677 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-9] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 9 with 5 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-6] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 6 with 247 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-22] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 22 with 694 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-13] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 13 with 142 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:57:56 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 14 with 711 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-17] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 17 with 209 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 314 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:57:56 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 65 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-10] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 10 with 406 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 299 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-16] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 16 with 48 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:57:56 [pool-2-thread-1] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 1 with 144 containers is in queue. Ship status - loading required.
2021-12-02 18:57:56 [pool-2-thread-28] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 28 with 455 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-3] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 3 with 555 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:57:56 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 52 containers is in queue. Ship status - unloading required.
2021-12-02 18:57:56 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 7 with 392 containers is in queue. Ship status - loading required.
2021-12-02 18:57:56 [pool-2-thread-8] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 8 with 579 containers is in queue. Ship status - loading required.
2021-12-02 18:57:56 [pool-2-thread-30] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 30 with 51 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:57:56 [pool-2-thread-15] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 15 with 131 containers is in queue. Ship status - loading required.
2021-12-02 18:57:56 [pool-2-thread-4] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 4 with 372 containers is in queue. Ship status is - unloading and loading required.
