2021-12-02 20:52:57 [pool-2-thread-32] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 32 with 336 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-35] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 35 with 132 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-36] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 36 with 50 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-39] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 39 with 52 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-40] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 40 with 260 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-43] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 43 with 410 containers is in queue. Ship status - loading required.
2021-12-02 20:52:57 [pool-2-thread-44] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 44 with 35 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-18] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 18 = 0; port = 704
2021-12-02 20:52:57 [pool-2-thread-19] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 19 = 0; port = 1465
2021-12-02 20:52:57 [pool-2-thread-19] [nextAction] [25] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 19 is loading.
2021-12-02 20:52:57 [pool-2-thread-47] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 47 with 47 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-48] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 48 with 304 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-19] [load] [103] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 19 = 922; port = 543
2021-12-02 20:52:57 [pool-2-thread-38] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 38 with 369 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-37] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 37 with 452 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-41] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 41 with 415 containers is in queue. Ship status - loading required.
2021-12-02 20:52:57 [pool-2-thread-45] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 45 with 103 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-42] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 42 with 1 containers is in queue. Ship status - loading required.
2021-12-02 20:52:57 [pool-2-thread-46] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 46 with 115 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-50] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 50 with 97 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-49] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 49 with 10 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:58 [Timer-0] [run] [129] INFO  by.epam.task5.entity.Port - Number of containers in port = 543
2021-12-02 20:52:58 [pool-2-thread-18] [nextAction] [18] INFO  epam.task5.state.impl.EndState - Ship 18 has completed work.
