2021-12-02 18:15:57 [pool-2-thread-38] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 38 with 248 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-42] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 42 with 366 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-45] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 45 with 520 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-46] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 46 with 312 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-49] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 49 with 333 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-48] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 48 with 210 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-3] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 3 = 0; port = 1069
2021-12-02 18:15:57 [pool-2-thread-50] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 50 with 231 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-6] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 6 = 263; port = 1500
2021-12-02 18:15:57 [pool-2-thread-32] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 32 with 703 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-31] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 31 with 361 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-6] [nextAction] [24] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 6 is loading.
2021-12-02 18:15:57 [pool-2-thread-36] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 36 with 230 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-35] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 35 with 277 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-6] [load] [96] INFO  by.epam.task5.entity.Port - Number of containers after loading: ship 6 = 704; port = 1059
2021-12-02 18:15:57 [pool-2-thread-39] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 39 with 575 containers is in queue. Ship status - unloading required.
