2021-12-02 22:08:54 [Timer-0] [run] [128] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-02 22:08:54 [main] [<init>] [46] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-12-02 22:08:54 [pool-2-thread-17] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 17 with 117 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 7 with 515 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 22:08:54 [pool-2-thread-20] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 20 with 689 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 435 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-8] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 8 with 205 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-3] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 3 with 315 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 22:08:54 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 600 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-9] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 9 with 396 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-17] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 17 is in processing
2021-12-02 22:08:54 [pool-2-thread-13] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 13 with 204 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-11] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 11 with 532 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 22:08:54 [pool-2-thread-4] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 4 with 39 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-6] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 6 with 402 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-19] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 19 with 308 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-22] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 22 with 260 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-18] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 18 with 223 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 22:08:54 [pool-2-thread-16] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 16 with 67 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-10] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 10 with 69 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 461 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 360 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-23] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 23 with 52 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 66 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-1] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 1 with 44 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-15] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 15 with 357 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-17] [nextAction] [21] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 17 is unloading.
2021-12-02 22:08:54 [pool-2-thread-12] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 12 with 415 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 14 with 6 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-7] [run] [82] INFO  by.epam.task5.entity.Ship - Ship 7 is in processing
2021-12-02 22:08:54 [pool-2-thread-25] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 25 with 464 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 22:08:54 [pool-2-thread-27] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 27 with 848 containers is in queue. Ship status - loading required.
2021-12-02 22:08:54 [pool-2-thread-7] [nextAction] [21] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is unloading.
2021-12-02 22:08:54 [pool-2-thread-28] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 28 with 16 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-31] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 31 with 156 containers is in queue. Ship status - unloading required.
2021-12-02 22:08:54 [pool-2-thread-7] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 7 = 0; port = 1232
2021-12-02 22:08:54 [pool-2-thread-17] [unload] [115] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 17 = 0; port = 717
2021-12-02 22:08:54 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 7 is loading.
2021-12-02 22:08:54 [pool-2-thread-32] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 32 with 116 containers is in queue. Ship status - unloading required.
