2021-12-02 16:19:02 [main] [<init>] [44] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@169e6180
2021-12-02 16:19:02 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-02 16:19:02 [pool-2-thread-55] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 55 with 35 containers is in queue. Ship status - loading required.
2021-12-02 16:19:02 [pool-2-thread-50] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 50 with 572 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-35] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 35 with 43 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-27] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 27 with 24 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-28] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 28 with 694 containers is in queue. Ship status - loading required.
2021-12-02 16:19:02 [pool-2-thread-31] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 31 with 84 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-40] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 40 with 95 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 16:19:02 [pool-2-thread-20] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 20 with 709 containers is in queue. Ship status - loading required.
2021-12-02 16:19:02 [pool-2-thread-45] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 45 with 454 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-46] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 46 with 322 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-128] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 128 with 158 containers is in queue. Ship status - loading required.
2021-12-02 16:19:02 [pool-2-thread-39] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 39 with 194 containers is in queue. Ship status - unloading required.
2021-12-02 16:19:02 [pool-2-thread-42] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 42 with 270 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 16:19:02 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 481 containers is in queue. Ship status - loading required.
