2021-11-30 10:22:23 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 431 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-5] [call] [80] INFO  by.epam.task5.entity.Ship - Ship 5 is in processing
2021-11-30 10:22:23 [pool-2-thread-11] [call] [80] INFO  by.epam.task5.entity.Ship - Ship 11 is in processing
2021-11-30 10:22:23 [pool-2-thread-11] [nextAction] [20] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 11 is unloading.
2021-11-30 10:22:23 [pool-2-thread-5] [nextAction] [20] INFO  epam.task5.state.impl.LoadingUnloadingState - Ship 5 is unloading.
2021-11-30 10:22:23 [pool-2-thread-41] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 41 with 144 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-39] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 39 with 57 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-40] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 40 with 110 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-11] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 11 = 0; port = 851
2021-11-30 10:22:23 [pool-2-thread-86] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 86 with 34 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-5] [unload] [108] INFO  by.epam.task5.entity.Port - Number of containers after unloading: ship 5 = 0; port = 1282
2021-11-30 10:22:23 [pool-2-thread-44] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 44 with 52 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-48] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 48 with 408 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-49] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 49 with 517 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-127] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 127 with 241 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-134] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 134 with 282 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-159] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 159 with 122 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-55] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 55 with 83 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-54] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 54 with 330 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-42] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 42 with 202 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-46] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 46 with 30 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-47] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 47 with 775 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-51] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 51 with 7 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-43] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 43 with 140 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-50] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 50 with 188 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-57] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 57 with 308 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-60] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 60 with 302 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-466] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 466 with 579 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-64] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 64 with 423 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-65] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 65 with 421 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-59] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 59 with 14 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-63] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 63 with 419 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-509] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 509 with 593 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-66] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 66 with 0 containers is in queue. Ship status - unloading required.
