2021-11-30 10:19:02 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-11-30 10:19:02 [main] [<init>] [44] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-11-30 10:19:02 [pool-2-thread-73] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 73 with 949 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:19:02 [pool-2-thread-22] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 22 with 530 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:19:02 [pool-2-thread-61] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 61 with 91 containers is in queue. Ship status - unloading required.
2021-11-30 10:19:02 [pool-2-thread-75] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 75 with 433 containers is in queue. Ship status - loading required.
2021-11-30 10:19:02 [pool-2-thread-76] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 76 with 638 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:19:02 [pool-2-thread-78] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 78 with 673 containers is in queue. Ship status - unloading required.
2021-11-30 10:19:02 [pool-2-thread-72] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 72 with 488 containers is in queue. Ship status - unloading required.
2021-11-30 10:19:02 [pool-2-thread-77] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 77 with 164 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:19:02 [pool-2-thread-62] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 62 with 27 containers is in queue. Ship status - loading required.
2021-11-30 10:19:02 [pool-2-thread-63] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 63 with 2 containers is in queue. Ship status - loading required.
2021-11-30 10:19:02 [pool-2-thread-57] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 57 with 497 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:19:02 [pool-2-thread-58] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 58 with 82 containers is in queue. Ship status - loading required.
2021-11-30 10:19:02 [pool-2-thread-79] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 79 with 267 containers is in queue. Ship status - unloading required.
2021-11-30 10:19:02 [pool-2-thread-74] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 74 with 129 containers is in queue. Ship status - unloading required.
2021-11-30 10:19:02 [pool-2-thread-59] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 59 with 75 containers is in queue. Ship status - loading required.
